test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
lu.C,m4.large-8,06-19-20-01:30:51,93.27,92.488966,0.000277,0.364504,251,0.612989,0.612989,0.7783867999999999,0.32789450000000003
lu.C,m4.large-8,06-19-20-00:49:49,97.21,96.391506,0.000259,0.379962,251,0.640324,0.640324,0.817172,0.3445536
lu.C,m4.large-8,06-19-20-15:46:31,93.42,92.620061,0.000279,0.365099,251,0.608238,0.608238,0.7817331999999999,0.33004279999999997
lu.C,m4.large-4,06-19-20-02:20:11,172.25,171.509662,0.000267,0.676443,251,1.147486,1.147486,1.4488526,0.6096777
lu.C,m4.large-4,06-18-20-23:32:19,171.17,170.424843,0.000273,0.672142,251,1.147246,1.147246,1.4400749999999998,0.6053129
lu.C,m4.large-4,06-19-20-11:35:08,166.74,165.997337,0.000277,0.654830,251,1.101833,1.101833,1.4011276000000001,0.5903805
lu.C,m5.large-2,06-20-20-11:12:45,275.61,274.984929,0.000302,1.085359,251,1.786799,1.786799,2.3130824000000003,0.9778613
lu.C,m5.large-2,06-19-20-23:34:51,271.43,270.804736,0.000295,1.068866,251,1.780773,1.780773,2.2823992,0.9631223
lu.C,m5.large-2,06-20-20-12:06:39,274.86,274.218403,0.000285,1.082368,251,1.784252,1.784252,2.3086390000000003,0.9758942999999999
lu.C,t3.large-2,06-17-20-20:13:52,283.82,282.951366,0.000278,1.116685,251,1.849973,1.849973,2.3856766,1.007841
lu.C,t3.large-2,06-17-20-12:41:52,287.11,286.307824,0.000275,1.129962,251,1.882223,1.882223,2.4170566,1.0203060000000002
lu.C,t3.large-2,06-17-20-21:15:12,282.25,281.507901,0.000279,1.110952,251,1.834514,1.834514,2.3686114000000003,1.0008542999999999
lu.C,t3.large-8,06-18-20-16:00:31,83.10,82.059836,0.000270,0.323361,251,0.521168,0.521168,0.6882374,0.2920019
lu.C,t3.large-8,06-18-20-17:37:04,83.00,82.104459,0.000272,0.323579,251,0.585185,0.585185,0.6989308000000001,0.29094690000000006
lu.C,t3.large-8,06-18-20-16:58:23,81.05,80.158202,0.000277,0.315961,251,0.541651,0.541651,0.6793286000000001,0.2854992
lu.C,m5.large-8,06-20-20-02:09:37,76.55,75.854664,0.000308,0.299009,251,0.481702,0.481702,0.6361736,0.2699166
lu.C,m5.large-8,06-20-20-01:30:19,78.54,77.849213,0.000286,0.306886,251,0.489418,0.489418,0.6503026000000001,0.2762095
lu.C,m5.large-8,06-20-20-02:44:47,77.65,76.938767,0.000288,0.303305,251,0.486363,0.486363,0.6488363999999999,0.27578189999999997
lu.C,t3.large-4,06-18-20-10:40:53,147.91,146.891258,0.000273,0.579377,251,0.949518,0.949518,1.2345628,0.5223296000000001
lu.C,t3.large-4,06-17-20-22:24:53,272.38,151.605079,0.000267,0.598156,251,0.954455,0.954455,1.7189232,0.7640160999999999
