test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
3Dadvect,1node06,06-16-20-16:23:42,183.18,0,0.000840603037799,0.403846152981,445,0,0,0,0
3Dadvect,1node06,06-16-20-16:54:24,184.70,0,0.000819958679105,0.407567990764,445,0,0,0,0
3Dadvect,2node06,06-16-20-16:26:45,109.31,0,0.00127908366415,0.239406182257,445,0,0,0,0
3Dadvect,2node06,06-16-20-16:57:28,110.69,0,0.00124500952551,0.242194672381,445,0,0,0,0
3Dadvect,4node06,06-16-20-16:28:34,66.15,0,0.00210846501395,0.142612775524,445,0,0,0,0
3Dadvect,4node06,06-16-20-16:59:19,66.40,0,0.00214599795574,0.143194089847,445,0,0,0,0
3Dadvect,8node06,06-16-20-16:29:40,43.78,0,0.00341474564173,0.09239124716,445,0,0,0,0
3Dadvect,8node06,06-16-20-17:00:25,43.53,0,0.00334583223099,0.0916672583376,445,0,0,0,0
bt.B,node06-1,06-16-20-12:36:07,267.62,267.503828,0.000648,1.318725,200,0,0,0,0
bt.B,node06-1,06-16-20-18:22:03,263.41,263.280296,0.000658,1.297872,200,0,0,0,0
bt.B,node06-1,06-16-20-21:17:26,265.99,265.864524,0.000659,1.310739,200,0,0,0,0
bt.B,node06-2,06-16-20-12:40:35,277.39,277.260854,0.000659,1.365989,200,0,0,0,0
bt.B,node06-2,06-16-20-18:26:26,276.45,276.319871,0.000658,1.362113,200,0,0,0,0
bt.B,node06-2,06-16-20-21:21:52,275.58,275.447679,0.000662,1.357766,200,0,0,0,0
bt.B,node06-4,06-16-20-12:45:12,86.40,86.275310,0.000714,0.424864,200,0,0,0,0
bt.B,node06-4,06-16-20-18:31:03,86.14,86.018961,0.000716,0.423634,200,0,0,0,0
bt.B,node06-4,06-16-20-21:26:27,85.80,85.680124,0.000708,0.421964,200,0,0,0,0
bt.B,node06-8,06-16-20-12:46:39,87.67,87.554795,0.000705,0.431347,200,0,0,0,0
bt.B,node06-8,06-16-20-18:32:29,87.78,87.663385,0.000854,0.431763,200,0,0,0,0
bt.B,node06-8,06-16-20-21:27:53,87.89,87.777992,0.000707,0.432324,200,0,0,0,0
bt.B,t3.large-2,06-17-20-11:53:22,87.89,244.508633,0.000630,1.205503,200,0,0,0,0
bt.B,t3.large-4,06-17-20-13:07:02,87.89,65.559023,0.000629,0.322813,200,0,0,0,0
bt.C,node06-1,06-16-20-12:48:07,1161.96,1161.796101,0.000600,5.728529,200,0,0,0,0
bt.C,node06-1,06-16-20-18:33:57,1172.06,1171.910671,0.000618,5.777952,200,0,0,0,0
bt.C,node06-1,06-16-20-21:29:21,1169.78,1169.620572,0.000630,5.767637,200,0,0,0,0
bt.C,node06-2,06-16-20-13:07:29,1214.42,1214.260480,0.000578,5.987421,200,0,0,0,0
bt.C,node06-2,06-16-20-18:53:29,1206.42,1206.252267,0.000587,5.947004,200,0,0,0,0
bt.C,node06-2,06-16-20-21:48:51,1199.24,1199.078227,0.000582,5.911720,200,0,0,0,0
bt.C,node06-4,06-16-20-13:27:43,336.94,336.794959,0.000762,1.660218,200,0,0,0,0
bt.C,node06-4,06-16-20-19:13:35,340.48,340.329847,0.000743,1.677903,200,0,0,0,0
bt.C,node06-4,06-16-20-22:08:50,340.65,340.503408,0.000728,1.678695,200,0,0,0,0
bt.C,node06-8,06-16-20-13:33:20,343.92,343.788627,0.000704,1.694786,200,0,0,0,0
bt.C,node06-8,06-16-20-19:19:16,346.35,346.208481,0.000706,1.706944,200,0,0,0,0
bt.C,node06-8,06-16-20-22:14:31,345.82,345.686168,0.000709,1.704476,200,0,0,0,0
bt.C,t3.large-2,06-17-20-11:58:47,345.82,1027.111875,0.000601,5.066151,200,0,0,0,0
bt.C,t3.large-4,06-17-20-12:59:00,345.82,1027.111875,0.000601,5.066151,200,0,0,0,0
bt.C,t3.large-4,06-17-20-13:09:23,345.82,268.589418,0.000639,1.324439,200,0,0,0,0
cg.B,node06-1,06-16-20-12:13:27,87.66,87.526656,0.000003,1.123762,75,0,0,0,0
cg.B,node06-1,06-16-20-17:59:20,87.59,87.466289,0.000003,1.123106,75,0,0,0,0
cg.B,node06-1,06-16-20-20:54:38,87.94,87.815416,0.000003,1.127484,75,0,0,0,0
cg.B,node06-2,06-16-20-12:14:55,38.32,38.197393,0.000007,0.487530,75,0,0,0,0
cg.B,node06-2,06-16-20-18:00:47,38.32,38.156400,0.000006,0.487025,75,0,0,0,0
cg.B,node06-2,06-16-20-20:56:06,38.39,38.264437,0.000007,0.488262,75,0,0,0,0
cg.B,node06-4,06-16-20-12:15:33,29.15,29.024888,0.000009,0.370141,75,0,0,0,0
cg.B,node06-4,06-16-20-18:01:26,29.20,29.078205,0.000010,0.370782,75,0,0,0,0
cg.B,node06-4,06-16-20-20:56:45,29.21,29.072171,0.000011,0.370779,75,0,0,0,0
cg.B,node06-8,06-16-20-12:16:03,10.40,10.286789,0.000029,0.128576,75,0,0,0,0
cg.B,node06-8,06-16-20-18:01:55,10.42,10.313808,0.000026,0.128968,75,0,0,0,0
cg.B,node06-8,06-16-20-20:57:14,10.43,10.314911,0.000028,0.128593,75,0,0,0,0
cg.C,node06-1,06-16-20-12:16:13,246.44,246.278381,0.000001,3.159808,75,0,0,0,0
cg.C,node06-1,06-16-20-18:02:05,245.93,245.762654,0.000001,3.154063,75,0,0,0,0
cg.C,node06-1,06-16-20-20:57:24,247.54,247.380475,0.000001,3.175584,75,0,0,0,0
cg.C,node06-2,06-16-20-12:20:19,130.45,130.300554,0.000002,1.670914,75,0,0,0,0
cg.C,node06-2,06-16-20-18:06:11,130.38,130.199604,0.000002,1.669406,75,0,0,0,0
cg.C,node06-2,06-16-20-21:01:32,130.60,130.442824,0.000002,1.672499,75,0,0,0,0
cg.C,node06-4,06-16-20-12:22:30,97.02,96.875018,0.000004,1.241579,75,0,0,0,0
cg.C,node06-4,06-16-20-18:08:22,97.92,97.774905,0.000003,1.253431,75,0,0,0,0
cg.C,node06-4,06-16-20-21:03:43,97.05,96.913843,0.000004,1.241714,75,0,0,0,0
cg.C,node06-8,06-16-20-12:24:07,43.59,43.449451,0.000006,0.553298,75,0,0,0,0
cg.C,node06-8,06-16-20-18:09:59,43.53,43.404887,0.000007,0.552439,75,0,0,0,0
cg.C,node06-8,06-16-20-21:05:20,43.68,43.544010,0.000006,0.554821,75,0,0,0,0
cg.C,t3.large-2,06-17-20-12:20:41,43.68,67.164845,0.000005,0.857356,75,0,0,0,0
cg.C,t3.large-4,06-17-20-13:17:41,43.68,37.871416,0.000028,0.482116,75,0,0,0,0
ft.B,node06-1,06-16-20-12:24:51,56.32,56.128361,0.000001,2.098574,20,0,0,0,0
ft.B,node06-1,06-16-20-18:10:43,57.82,57.640743,0.000001,2.175699,20,0,0,0,0
ft.B,node06-1,06-16-20-21:06:03,58.28,58.103803,0.000001,2.197661,20,0,0,0,0
ft.B,node06-2,06-16-20-12:25:47,32.70,32.537222,0.000001,1.355519,20,0,0,0,0
ft.B,node06-2,06-16-20-18:11:41,32.69,32.530282,0.000001,1.355044,20,0,0,0,0
ft.B,node06-2,06-16-20-21:07:02,33.10,32.946304,0.000001,1.373092,20,0,0,0,0
ft.B,node06-4,06-16-20-12:26:20,19.70,19.548830,0.000001,0.815270,20,0,0,0,0
ft.B,node06-4,06-16-20-18:12:14,19.65,19.500369,0.000002,0.816324,20,0,0,0,0
ft.B,node06-4,06-16-20-21:07:35,19.80,19.642143,0.000002,0.818724,20,0,0,0,0
ft.B,node06-8,06-16-20-12:26:39,12.03,11.890880,0.000003,0.499002,20,0,0,0,0
ft.B,node06-8,06-16-20-18:12:33,12.03,11.889763,0.000002,0.498987,20,0,0,0,0
ft.B,node06-8,06-16-20-21:07:55,12.05,11.899100,0.000003,0.499304,20,0,0,0,0
ft.C,node06-1,06-16-20-12:26:51,268.97,268.569589,0.000000,10.315994,20,0,0,0,0
ft.C,node06-1,06-16-20-18:12:45,269.88,269.494629,0.000000,10.383313,20,0,0,0,0
ft.C,node06-1,06-16-20-21:08:07,271.42,271.018632,0.000000,10.440292,20,0,0,0,0
ft.C,node06-2,06-16-20-12:31:20,148.21,147.916070,0.000000,6.192329,20,0,0,0,0
ft.C,node06-2,06-16-20-18:17:15,148.24,147.954737,0.000000,6.200078,20,0,0,0,0
ft.C,node06-2,06-16-20-21:12:38,147.67,147.387355,0.000000,6.181093,20,0,0,0,0
ft.C,node06-4,06-16-20-12:33:49,86.58,86.306231,0.000000,3.632654,20,0,0,0,0
ft.C,node06-4,06-16-20-18:19:43,86.92,86.650977,0.000001,3.639555,20,0,0,0,0
ft.C,node06-4,06-16-20-21:15:06,87.24,86.971642,0.000000,3.656594,20,0,0,0,0
ft.C,node06-8,06-16-20-12:35:15,52.22,51.981228,0.000001,2.201451,20,0,0,0,0
ft.C,node06-8,06-16-20-18:21:10,52.48,52.235968,0.000001,2.215380,20,0,0,0,0
ft.C,node06-8,06-16-20-21:16:33,52.76,52.513680,0.000001,2.228353,20,0,0,0,0
ft.C,t3.large-2,06-17-20-12:17:14,52.76,132.169299,0.000000,5.577918,20,0,0,0,0
ft.C,t3.large-4,06-17-20-13:15:12,52.76,73.400440,0.000000,3.068424,20,0,0,0,0
lu.B,node06-1,06-16-20-11:45:37,162.72,162.600358,0.000303,0.641573,251,0,0,0,0
