test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
lu.B,node06-2,06-16-20-20:29:21,88.35,88.234610,0.000302,0.347993,251,0.574847,0.574847,0.7502288000000001,0.3176297
lu.B,node06-2,06-16-20-11:48:19,88.49,88.368986,0.000299,0.348557,251,0.566706,0.566706,0.7422196,0.3144392
lu.B,node06-2,06-16-20-17:34:15,88.76,88.646666,0.000307,0.349644,251,0.568633,0.568633,0.7428898000000002,0.3145816
lu.B,node06-4,06-16-20-17:35:44,48.72,48.604199,0.000279,0.191254,251,0.3372,0.3372,0.41456399999999993,0.173562
lu.B,node06-4,06-16-20-11:49:48,48.78,48.666887,0.000288,0.191509,251,0.334344,0.334344,0.4139786,0.1735549
lu.B,node06-4,06-16-20-20:30:49,48.87,48.753161,0.000279,0.191850,251,0.333144,0.333144,0.41570460000000004,0.17453789999999997
lu.B,node06-1,06-16-20-11:45:37,162.72,162.600358,0.000303,0.641573,251,1.079027,1.079027,1.3980511999999998,0.5911229
lu.B,node06-1,06-16-20-17:31:30,165.56,165.441704,0.000301,0.652756,251,1.138356,1.138356,1.4176075999999997,0.5949682
lu.B,node06-1,06-16-20-20:26:37,164.13,164.005658,0.000312,0.647151,251,1.107491,1.107491,1.4044462000000002,0.591474
lu.B,node06-8,06-16-20-20:31:38,30.68,30.570272,0.000249,0.120110,251,0.2013,0.2013,0.25867640000000003,0.1092082
lu.B,node06-8,06-16-20-11:50:37,30.67,30.568856,0.000254,0.119967,251,0.203074,0.203074,0.25807379999999996,0.10872949999999999
lu.B,node06-8,06-16-20-17:36:33,30.74,30.634645,0.000252,0.120286,251,0.202974,0.202974,0.25859139999999997,0.10899829999999999
ft.B,node06-2,06-16-20-18:11:41,32.69,32.530282,0.000001,1.355044,20,1.490236,1.490236,2.8756958,1.2888243
ft.B,node06-2,06-16-20-12:25:47,32.70,32.537222,0.000001,1.355519,20,1.470712,1.470712,2.8921038,1.2989807000000002
ft.B,node06-2,06-16-20-21:07:02,33.10,32.946304,0.000001,1.373092,20,1.487074,1.487074,2.9168406,1.3097129
ft.B,node06-4,06-16-20-12:26:20,19.70,19.548830,0.000001,0.815270,20,0.897427,0.897427,1.7269636,0.7737391
ft.B,node06-4,06-16-20-18:12:14,19.65,19.500369,0.000002,0.816324,20,0.882072,0.882072,1.7271864000000001,0.775386
ft.B,node06-4,06-16-20-21:07:35,19.80,19.642143,0.000002,0.818724,20,0.8859,0.8859,1.7283484000000002,0.7755842
ft.B,node06-1,06-16-20-12:24:51,56.32,56.128361,0.000001,2.098574,20,2.365178,2.365178,4.4383652,1.9826647999999998
ft.B,node06-1,06-16-20-18:10:43,57.82,57.640743,0.000001,2.175699,20,2.454996,2.454996,4.6006522,2.0548265
ft.B,node06-1,06-16-20-21:06:03,58.28,58.103803,0.000001,2.197661,20,2.44359,2.44359,4.6581494,2.0847157
ft.B,node06-8,06-16-20-21:07:55,12.05,11.899100,0.000003,0.499304,20,0.527091,0.527091,1.051621,0.4731014
ft.B,node06-8,06-16-20-18:12:33,12.03,11.889763,0.000002,0.498987,20,0.531514,0.531514,1.0501264000000001,0.4719118000000001
ft.B,node06-8,06-16-20-12:26:39,12.03,11.890880,0.000003,0.499002,20,0.52575,0.52575,1.0496192,0.4722346
lu.C,node06-2,06-16-20-12:02:12,359.35,359.215500,0.000295,1.418084,251,2.48199,2.48199,3.1126709999999997,1.3081364999999998
